Chr	Start	End	Type
Chr08	9462304	9462403	N
Chr08	9462404	9484248	W
Chr08	9484249	9484348	N
Chr08	9484349	9517606	W
Chr08	9517607	9517706	N
Chr08	9517707	9537739	W
Chr08	9537740	9537839	N
Chr08	9537840	9567008	W
Chr08	9567009	9567108	N
Chr08	9567109	9579954	W
Chr08	9579955	9580054	N
Chr08	9580055	9813302	W
Chr08	9813303	9813402	N
Chr08	9813403	9971439	W
Chr08	9971440	9971539	N
Chr08	9971540	10676596	W
Chr08	10676597	10676696	N
Chr08	10676697	15672419	W
Chr08	15672420	15672519	N
Chr08	15672520	22315398	W
Chr08	22315399	22315498	N
Chr08	22315499	26166867	W
Chr08	26166868	26166967	N
Chr08	26166968	36210368	W
Chr08	36210369	36210468	N
Chr08	36210469	44570164	W
Chr08	44570165	44570264	N
Chr08	44570265	47889087	W
Chr08	47889088	47889187	N
Chr08	47889188	56441988	W
Chr08	56441989	56442088	N
Chr08	56442089	61982872	W
Chr08	61982873	61982972	N
Chr08	61982973	63995357	W
Chr09	1	115415	W
Chr09	115416	115515	N
Chr09	115516	1794627	W
Chr09	1794628	1794727	N
Chr09	1794728	3220017	W
Chr09	3220018	3220117	N
Chr09	3220118	18580203	W
Chr09	18580204	18580303	N
Chr09	18580304	19378301	W
Chr09	19378302	19378401	N
Chr09	19378402	19616581	W
Chr09	19616582	19616681	N
Chr09	19616682	19692656	W
Chr09	19692657	19692756	N
Chr09	19692757	19746167	W
Chr09	19746168	19746267	N
Chr09	19746268	19886879	W
Chr09	19886880	19886979	N
Chr09	19886980	20034907	W
Chr09	20034908	20035007	N
Chr09	20035008	20925519	W
Chr09	20925520	20925619	N
Chr09	20925620	21005898	W
Chr09	21005899	21005998	N
Chr09	21005999	21052726	W
Chr09	21052727	21052751	N
Chr09	21052752	21163696	W
Chr09	21163697	21163796	N
Chr09	21163797	21249329	W
Chr09	21249330	21249429	N
Chr09	21249430	21310283	W
Chr09	21310284	21310383	N
Chr09	21310384	21421065	W
Chr09	21421066	21421165	N
Chr09	21421166	24899369	W
Chr09	24899370	24899469	N
Chr09	24899470	25710759	W
Chr09	25710760	25710859	N
Chr09	25710860	32786778	W
Chr09	32786779	32786878	N
Chr09	32786879	46958678	W
Chr09	46958679	46958778	N
Chr09	46958779	47897515	W
Chr09	47897516	47897615	N
Chr09	47897616	61170539	W
Chr09	61170540	61170639	N
Chr09	61170640	61299153	W
Chr09	61299154	61299253	N
Chr09	61299254	61912758	W
Chr09	61912759	61912858	N
Chr09	61912859	62624858	W
Chr09	62624859	62624958	N
Chr09	62624959	63970481	W
Chr09	63970482	63970581	N
Chr09	63970582	68513564	W
Chr10	1	2851269	W
Chr10	2851270	2851369	N
Chr10	2851370	12744961	W
Chr10	12744962	12745061	N
Chr10	12745062	13324868	W
Chr10	13324869	13324968	N
Chr10	13324969	14592899	W
Chr10	14592900	14592999	N
Chr10	14593000	15122416	W
Chr10	15122417	15122516	N
Chr10	15122517	15303219	W
Chr10	15303220	15304219	N
Chr10	15304220	19618874	W
Chr10	19618875	19618974	N
Chr10	19618975	21208668	W
Chr10	21208669	21208768	N
Chr10	21208769	25200924	W
Chr10	25200925	25201924	N
Chr10	25201925	36851150	W
Chr10	36851151	36851250	N
Chr10	36851251	43417680	W
Chr10	43417681	43417780	N
Chr10	43417781	49564901	W
Chr10	49564902	49565001	N
Chr10	49565002	49613007	W
Chr10	49613008	49613107	N
Chr10	49613108	52335981	W
Chr10	52335982	52336081	N
Chr10	52336082	56540184	W
Chr10	56540185	56540284	N
Chr10	56540285	57207167	W
Chr10	57207168	57207267	N
Chr10	57207268	64668453	W
Chr10	64668454	64668553	N
Chr10	64668554	64792705	W
Chr11	1	706385	W
Chr11	706386	706485	N
Chr11	706486	13676516	W
Chr11	13676517	13676616	N
Chr11	13676617	15242845	W
Chr11	15242846	15242945	N
Chr11	15242946	17578515	W
Chr11	17578516	17578615	N
Chr11	17578616	17701532	W
Chr11	17701533	17701632	N
Chr11	17701633	20479640	W
Chr11	20479641	20479740	N
Chr11	20479741	23208605	W
Chr11	23208606	23208705	N
Chr11	23208706	25765171	W
Chr11	25765172	25765271	N
Chr11	25765272	26587048	W
Chr11	26587049	26587148	N
Chr11	26587149	29240936	W
Chr11	29240937	29241036	N
Chr11	29241037	35193618	W
Chr11	35193619	35193718	N
Chr11	35193719	41667709	W
Chr11	41667710	41667809	N
Chr11	41667810	43996700	W
Chr11	43996701	43996725	N
Chr11	43996726	45894139	W
Chr11	45894140	45894239	N
Chr11	45894240	47635312	W
Chr11	47635313	47635412	N
Chr11	47635413	51122719	W
Chr11	51122720	51122819	N
Chr11	51122820	54379777	W
Chr12	1	2440492	W
Chr12	2440493	2440592	N
Chr12	2440593	4347497	W
Chr12	4347498	4347597	N
Chr12	4347598	8960891	W
Chr12	8960892	8960991	N
Chr12	8960992	10168400	W
Chr12	10168401	10168500	N
Chr12	10168501	10811530	W
Chr12	10811531	10811630	N
Chr12	10811631	16330228	W
Chr12	16330229	16330328	N
Chr12	16330329	16569119	W
Chr12	16569120	16569219	N
Chr12	16569220	17774634	W
Chr12	17774635	17774734	N
Chr12	17774735	18095336	W
Chr12	18095337	18095436	N
Chr12	18095437	18131397	W
Chr12	18131398	18131497	N
Chr12	18131498	22368766	W
Chr12	22368767	22368866	N
Chr12	22368867	23123056	W
Chr12	23123057	23123156	N
Chr12	23123157	27982215	W
Chr12	27982216	27982315	N
Chr12	27982316	30175553	W
Chr12	30175554	30175653	N
Chr12	30175654	34026682	W
Chr12	34026683	34026782	N
Chr12	34026783	38478495	W
Chr12	38478496	38478595	N
Chr12	38478596	38520615	W
Chr12	38520616	38520715	N
Chr12	38520716	40730802	W
Chr12	40730803	40730902	N
Chr12	40730903	46738732	W
Chr12	46738733	46738832	N
Chr12	46738833	47703573	W
Chr12	47703574	47703673	N
Chr12	47703674	50610861	W
Chr12	50610862	50610961	N
Chr12	50610962	61246054	W
Chr12	61246055	61246154	N
Chr12	61246155	62354131	W
Chr12	62354132	62354231	N
Chr12	62354232	66688036	W
