chr	start	end	local_h2g	pos	color
1	36304130	36308864	4735	36308864	black
1	36308865	36315020	6156	36315020	black
1	36315023	36319759	4737	36319759	black
1	36319760	36322484	2725	36322484	black
1	36322485	36324744	2260	36324744	black
1	36324746	36325015	270	36325015	black
1	36325016	36328652	3637	36328652	black
1	36328654	36336059	7406	36336059	black
1	36336060	36339698	3639	36339698	black
1	36339699	36346953	7255	36346953	black
1	36346954	36351386	4433	36351386	black
1	36351387	36354365	2979	36354365	black
1	36354366	36356624	2259	36356624	black
1	36356627	36356896	270	36356896	black
1	36356897	36361101	4205	36361101	black
1	36361104	36367940	6837	36367940	black
1	36367941	36372677	4737	36372677	black
1	36372678	36378991	6314	36378991	black
1	36378992	36383719	4728	36383719	black
1	36383720	36390028	6309	36390028	black
1	36390030	36394755	4726	36394755	black
1	36394756	36400911	6156	36400911	black
1	36400914	36405650	4737	36405650	black
1	36405651	36408375	2725	36408375	black
1	36408376	36410635	2260	36410635	black
1	36410637	36410906	270	36410906	black
1	36410907	36414543	3637	36414543	black
1	36414545	36417099	2555	36417099	black
1	36417100	36418164	1065	36418164	black
1	36418165	36421950	3786	36421950	black
1	36421951	36425589	3639	36425589	black
1	36425590	36432844	7255	36432844	black
1	36432845	36437277	4433	36437277	black
1	36437278	36440256	2979	36440256	black
1	36440257	36442515	2259	36442515	black
1	36442518	36442787	270	36442787	black
1	36442788	36447522	4735	36447522	black
1	36447525	36453831	6307	36453831	black
1	36453832	36458568	4737	36458568	black
1	36458569	36464882	6314	36464882	black
1	36464883	36469610	4728	36469610	black
1	36469611	36475919	6309	36475919	black
1	36475921	36479549	3629	36479549	black
1	36479550	36486953	7404	36486953	black
1	36486956	36491228	4273	36491228	black
1	36491229	36497848	6620	36497848	black
1	36497849	36502585	4737	36502585	black
1	36502586	36508891	6306	36508891	black
1	36508893	36513630	4738	36513630	black
1	36513631	36517819	4189	36517819	black
1	36517821	36522558	4738	36522558	black
1	36522559	36526747	4189	36526747	black
1	36526749	36531020	4272	36531020	black
1	36531022	36537792	6771	36537792	black
1	36537793	36542065	4273	36542065	black
1	36542066	36548685	6620	36548685	black
1	36548686	36552323	3638	36552323	black
1	36549246	36553422	4177	36553422	black
1	36553423	36559701	6279	36559701	black
1	36559703	36564466	4764	36564466	black
1	36564467	36570621	6155	36570621	black
1	36570623	36575359	4737	36575359	black
1	36575360	36581654	6295	36581654	black
1	36581656	36585293	3638	36585293	black
1	36585294	36594506	9213	36594506	black
1	36592627	36597031	4405	36597031	black
1	36594567	36603186	8620	36603186	black
1	36603188	36607924	4737	36607924	black
1	36607925	36614229	6305	36614229	black
1	36614231	36617869	3639	36617869	black
1	36617870	36625274	7405	36625274	black
1	36625276	36630012	4737	36630012	black
1	36630013	36636318	6306	36636318	black
1	36636320	36641057	4738	36641057	black
1	36641058	36649322	8265	36649322	black
1	36647365	36649637	2273	36649637	black
1	36649638	36658408	8771	36658408	black
1	36658410	36662683	4274	36662683	black
1	36662684	36669453	6770	36669453	black
1	36669455	36673727	4273	36673727	black
1	36673728	36680345	6618	36680345	black
1	36680347	36685083	4737	36685083	black
1	36685084	36691389	6306	36691389	black
1	36691391	36695663	4273	36695663	black
1	36695664	36702282	6619	36702282	black
1	36702284	36707020	4737	36707020	black
1	36707021	36707045	25	36707045	black
1	36707046	36708738	1693	36708738	black
1	36708739	36713326	4588	36713326	black
1	36713328	36716966	3639	36716966	black
1	36716967	36724219	7253	36724219	black
1	36724221	36727858	3638	36727858	black
1	36727859	36735178	7320	36735178	black
1	36735180	36738810	3631	36738810	black
1	36738812	36741510	2699	36741510	black
1	36741512	36742634	1123	36742634	black
1	36742634	36743539	905	36743538	red
1	39473323	39475819	2497	39475819	black
1	39475819	39476567	748	39476566	red
1	39476542	39477224	683	39477224	black
1	39476562	39477450	889	39477450	black
1	39477442	39477604	163	39477604	black
1	39477605	39478596	992	39478596	black
1	39478594	39478657	64	39478657	black
1	39478663	39478822	160	39478822	black
1	39478824	39479814	991	39479814	black
1	39479812	39480202	391	39480202	black
1	39480204	39480490	287	39480490	black
1	39480478	39480828	351	39480828	black
1	39480832	39481864	1033	39481864	black
1	39481207	39482039	833	39482039	black
1	39482040	39482282	243	39482282	black
1	39482263	39482583	321	39482583	black
1	39482309	39483057	749	39483057	black
1	39482526	39483484	959	39483484	black
1	39483497	39485678	2182	39485678	black
1	39485617	39486569	953	39486569	black
1	39485679	39486019	341	39486019	black
1	39486020	39486354	335	39486354	black
1	39486342	39486838	497	39486838	black
1	39486424	39486943	520	39486943	black
1	39486948	39487029	82	39487029	black
1	39487030	39487358	329	39487358	black
1	39487340	39487765	426	39487765	black
1	39487359	39487582	224	39487582	black
1	39487443	39488293	851	39488293	black
1	39487753	39488464	712	39488464	black
1	39488830	39488931	102	39488931	black
1	39488902	39489993	1092	39489993	black
1	39489488	39491620	2133	39491620	black
1	39491621	39491962	342	39491962	black
1	39491963	39492347	385	39492347	black
1	39492413	39492451	39	39492451	black
1	39492496	39492557	62	39492557	black
1	39492663	39492720	58	39492720	black
1	39492732	39493753	1022	39493753	black
1	39493610	39494263	654	39494263	black
1	39493901	39494458	558	39494458	black
1	39494253	39495177	925	39495177	black
1	39495181	39497050	1870	39497050	black
1	39497043	39498955	1913	39498955	black
1	39498474	39499888	1415	39499888	black
1	39498954	39499392	439	39499392	black
1	39499393	39501480	2088	39501480	black
1	39499902	39501639	1738	39501639	black
1	39500537	39500754	218	39500754	black
1	39500755	39502244	1490	39502244	black
1	39502245	39502286	42	39502286	black
1	39502258	39502745	488	39502745	black
1	39502738	39502985	248	39502985	black
1	39503048	39503148	101	39503148	black
1	39503063	39503820	758	39503820	black
1	39503826	39504518	693	39504518	black
1	39504144	39504648	505	39504648	black
1	39504519	39504642	124	39504642	black
1	39504676	39506024	1349	39506024	black
1	39506021	39506076	56	39506076	black
1	39506077	39506593	517	39506593	black
1	39506594	39506838	245	39506838	black
1	39506625	39506974	350	39506974	black
1	39506970	39507381	412	39507381	black
1	39507046	39507408	363	39507408	black
1	39507407	39509557	2151	39509557	black
1	39509558	39509898	341	39509898	black
1	39509899	39510810	912	39510810	black
1	39510759	39510817	59	39510817	black
1	39510801	39512022	1222	39512022	black
1	39512033	39512297	265	39512297	black
1	39512071	39512498	428	39512498	black
1	39512379	39512923	545	39512923	black
1	39512941	39513218	278	39513218	black
1	39513214	39514326	1113	39514326	black
1	39513664	39513740	77	39513740	black
1	39513741	39514466	726	39514466	black
1	39514402	39514555	154	39514555	black
1	39514467	39514512	46	39514512	black
1	39514556	39515224	669	39515224	black
1	39515225	39515950	726	39515950	black
1	39515949	39516044	96	39516044	black
1	39516045	39516338	294	39516338	black
1	39516336	39517328	993	39517328	black
1	39517329	39517491	163	39517491	black
1	39517494	39517533	40	39517533	black
1	39517534	39517838	305	39517838	black
1	39517598	39518141	544	39518141	black
1	39517839	39517853	15	39517853	black
1	39517912	39518810	899	39518810	black
1	39518812	39519184	373	39519184	black
1	39519215	39519416	202	39519416	black
1	39519417	39520405	989	39520405	black
1	39520403	39520568	166	39520568	black
1	39520569	39521303	735	39521303	black
1	39521291	39522400	1110	39522400	black
1	39522401	39525642	3242	39525642	black
1	39525604	39525763	160	39525763	black
1	39525637	39526336	700	39526336	black
1	39526337	39526538	202	39526538	black
1	39526528	39526756	229	39526756	black
1	39526724	39526868	145	39526868	black
1	39526866	39527254	389	39527254	black
1	39527252	39527641	390	39527641	black
1	39527642	39528407	766	39528407	black
1	39528410	39529444	1035	39529444	black
1	39528788	39529619	832	39529619	black
1	39529620	39529870	251	39529870	black
1	39529858	39530073	216	39530073	black
1	39530074	39531086	1013	39531086	black
1	39531087	39531132	46	39531132	black
1	39531121	39533267	2147	39533267	black
1	39533177	39534162	986	39534162	black
1	39533268	39533608	341	39533608	black
1	39533609	39533943	335	39533943	black
1	39533935	39534021	87	39534021	black
1	39534022	39534542	521	39534542	black
1	39534547	39534628	82	39534628	black
1	39534629	39534957	329	39534957	black
1	39534939	39535459	521	39535459	black
1	39535042	39535891	850	39535891	black
1	39535351	39536062	712	39536062	black
1	39536428	39536529	102	39536529	black
1	39536500	39537602	1103	39537602	black
1	39537086	39539199	2114	39539199	black
1	39537814	39539559	1746	39539559	black
1	39539560	39539944	385	39539944	black
1	39540010	39540046	37	39540046	black
1	39540093	39540154	62	39540154	black
1	39540260	39540317	58	39540317	black
1	39540329	39540957	629	39540957	black
1	39541020	39541709	690	39541709	black
1	39541694	39543621	1928	39543621	black
1	39543140	39544554	1415	39544554	black
1	39543620	39544157	538	39544157	black
1	39544158	39546279	2122	39546279	black
1	39545203	39545412	210	39545412	black
1	39545413	39546884	1472	39546884	black
1	39546885	39546897	13	39546897	black
1	39546898	39547322	425	39547322	black
1	39547323	39547387	65	39547387	black
1	39547376	39547438	63	39547438	black
1	39547399	39547438	40	39547438	black
1	39547439	39548160	722	39548160	black
1	39548161	39548549	389	39548549	black
1	39548548	39549342	795	39549342	black
1	39549316	39549503	188	39549503	black
1	39549480	39549494	15	39549494	black
1	39549495	39549925	431	39549925	black
1	39549766	39550335	570	39550335	black
1	39549928	39550377	450	39550377	black
1	39550257	39550401	145	39550401	black
1	39550378	39553623	3246	39553623	black
1	39553624	39554739	1116	39554739	black
1	39554727	39555448	722	39555448	black
1	39555449	39555837	389	39555837	black
1	39555836	39556629	794	39556629	black
1	39556603	39556791	189	39556791	black
1	39556783	39557213	431	39557213	black
1	39556972	39557053	82	39557053	black
1	39557054	39557623	570	39557623	black
1	39557216	39557665	450	39557665	black
1	39557545	39557687	143	39557687	black
1	39557666	39560911	3246	39560911	black
1	39560912	39562027	1116	39562027	black
1	39562015	39562736	722	39562736	black
1	39562737	39563126	390	39563126	black
1	39563125	39563919	795	39563919	black
1	39563893	39564080	188	39564080	black
1	39564137	39564275	139	39564275	black
1	39564284	39565327	1044	39565327	black
1	39565318	39565424	107	39565424	black
1	39565339	39565803	465	39565803	black
1	39565797	39567002	1206	39567002	black
1	39567081	39567146	66	39567146	black
1	39567147	39567719	573	39567719	black
1	39567165	39567479	315	39567479	black
1	39567480	39567814	335	39567814	black
1	39567816	39569416	1601	39569416	black
1	39569417	39569452	36	39569452	black
1	39569417	39570316	900	39570316	black
1	39569702	39571849	2148	39571849	black
1	39571850	39573100	1251	39573100	black
1	39572842	39573193	352	39573193	black
1	39573101	39573156	56	39573156	black
1	39573190	39573352	163	39573352	black
1	39573355	39573615	261	39573615	black
1	39573428	39573678	251	39573678	black
1	39573624	39577257	3634	39577257	black
1	39577241	39578530	1290	39578530	black
1	39578529	39579783	1255	39579783	black
1	39578531	39578856	326	39578856	black
1	39579784	39580092	309	39580092	black
1	39580093	39581692	1600	39581692	black
1	39581693	39581835	143	39581835	black
1	39581706	39582078	373	39582078	black
1	39581859	39583512	1654	39583512	black
1	39583579	39584074	496	39584074	black
1	39584069	39584832	764	39584832	black
1	39584812	39585939	1128	39585939	black
1	39585551	39586608	1058	39586608	black
1	39585981	39586724	744	39586724	black
1	39586725	39587829	1105	39587829	black
1	39587830	39588155	326	39588155	black
1	39588152	39588302	151	39588302	black
1	39588303	39588692	390	39588692	black
1	39588690	39589667	978	39589667	black
1	39589641	39589673	33	39589673	black
1	39589674	39589878	205	39589878	black
1	39589870	39589883	14	39589883	black
1	39589884	39590300	417	39590300	black
1	39590096	39590302	207	39590302	black
1	39590303	39590752	450	39590752	black
1	39590753	39591730	978	39591730	black
1	39590753	39590778	26	39590778	black
1	39591725	39592032	308	39592032	black
1	39591770	39592503	734	39592503	black
1	39592062	39592881	820	39592881	black
1	39592570	39593204	635	39593204	black
1	39593188	39593258	71	39593258	black
1	39593202	39593277	76	39593277	black
1	39593276	39593901	626	39593901	black
1	39593344	39594640	1297	39594640	black
1	39595036	39595087	52	39595087	black
1	39595774	39595874	101	39595874	black
1	39595875	39598852	2978	39598852	black
1	39598853	39600152	1300	39600152	black
1	39599534	39599733	200	39599733	black
1	39599734	39600580	847	39600580	black
1	39600580	39603432	2853	39603432	black
1	39602913	39603007	95	39603007	black
1	39603008	39603802	795	39603802	black
1	39603433	39605175	1743	39605175	black
1	39603803	39604100	298	39604100	black
1	39605168	39605676	509	39605676	black
1	39605199	39606248	1050	39606248	black
1	39605830	39605914	85	39605914	black
1	39605915	39606731	817	39606731	black
1	39606686	39607606	921	39607606	black
1	39606732	39606742	11	39606742	black
1	39607502	39607747	246	39607747	black
1	39607725	39608763	1039	39608763	black
1	39608764	39609482	719	39609482	black
1	39609484	39611886	2403	39611886	black
1	39611863	39611880	18	39611880	black
1	39611881	39612338	458	39612338	black
1	39611923	39612501	579	39612501	black
1	39612339	39612784	446	39612784	black
1	39612339	39612580	242	39612580	black
1	39612734	39612773	40	39612773	black
1	39612774	39612976	203	39612976	black
1	39612977	39613971	995	39613971	black
1	39613969	39614032	64	39614032	black
1	39614038	39614198	161	39614198	black
1	39614199	39615189	991	39615189	black
1	39615187	39615480	294	39615480	black
1	39615481	39615578	98	39615578	black
1	39615577	39616296	720	39616296	black
1	39616297	39616627	331	39616627	black
1	39616628	39617393	766	39617393	black
1	39617396	39618428	1033	39618428	black
1	39617713	39618603	891	39618603	black
1	39617767	39618846	1080	39618846	black
1	39618834	39619049	216	39619049	black
1	39619050	39620032	983	39620032	black
1	39620033	39620116	84	39620116	black
1	39620105	39622286	2182	39622286	black
1	39622194	39623172	979	39623172	black
1	39622287	39622627	341	39622627	black
1	39622628	39622962	335	39622962	black
1	39622950	39623446	497	39623446	black
1	39623032	39623551	520	39623551	black
1	39623556	39623637	82	39623637	black
1	39623638	39623966	329	39623966	black
1	39623948	39624373	426	39624373	black
1	39623962	39624050	89	39624050	black
1	39623967	39624190	224	39624190	black
1	39624051	39624901	851	39624901	black
1	39624902	39625072	171	39625072	black
1	39625438	39625539	102	39625539	black
1	39625510	39626601	1092	39626601	black
1	39626096	39628208	2113	39628208	black
1	39626823	39628569	1747	39628569	black
1	39628570	39628954	385	39628954	black
1	39629020	39629058	39	39629058	black
1	39629103	39629164	62	39629164	black
1	39629270	39629327	58	39629327	black
1	39629339	39630360	1022	39630360	black
1	39630217	39630870	654	39630870	black
1	39630508	39631065	558	39631065	black
1	39630860	39631778	919	39631778	black
1	39631782	39633651	1870	39633651	black
1	39633644	39635558	1915	39635558	black
1	39635077	39636490	1414	39636490	black
1	39635558	39635610	53	39635610	black
1	39635611	39635995	385	39635995	black
1	39635996	39638081	2086	39638081	black
1	39636504	39638240	1737	39638240	black
1	39637042	39637448	407	39637448	black
1	39637136	39637353	218	39637353	black
1	39637354	39638847	1494	39638847	black
1	39638848	39638889	42	39638889	black
1	39638861	39639348	488	39639348	black
1	39639341	39639588	248	39639588	black
1	39639651	39639751	101	39639751	black
1	39639666	39640423	758	39640423	black
1	39640429	39641121	693	39641121	black
1	39640747	39641251	505	39641251	black
1	39641122	39641245	124	39641245	black
1	39641282	39642630	1349	39642630	black
1	39642627	39642682	56	39642682	black
1	39642683	39643199	517	39643199	black
1	39643200	39643444	245	39643444	black
1	39643231	39643580	350	39643580	black
1	39643576	39643987	412	39643987	black
1	39643652	39644014	363	39644014	black
1	39644013	39646163	2151	39646163	black
1	39646164	39646505	342	39646505	black
1	39646506	39647709	1204	39647709	black
1	39646862	39649065	2204	39649065	black
1	39649076	39649340	265	39649340	black
1	39649114	39649541	428	39649541	black
1	39649422	39649724	303	39649724	black
1	39649544	39649740	197	39649740	black
1	39649545	39649971	427	39649971	black
1	39649948	39650241	294	39650241	black
1	39649985	39650262	278	39650262	black
1	39650258	39651365	1108	39651365	black
1	39650707	39650783	77	39650783	black
1	39650784	39651505	722	39651505	black
1	39651441	39651595	155	39651595	black
1	39651506	39651552	47	39651552	black
1	39651596	39652465	870	39652465	black
1	39651757	39651888	132	39651888	black
1	39651889	39652588	700	39652588	black
1	39652362	39652906	545	39652906	black
1	39652589	39652616	28	39652616	black
1	39652676	39653575	900	39653575	black
1	39653577	39653948	372	39653948	black
1	39653979	39654180	202	39654180	black
1	39654181	39654845	665	39654845	black
1	39654845	39654918	74	39654918	black
1	39654916	39655305	390	39655305	black
1	39655306	39656071	766	39656071	black
1	39656059	39657167	1109	39657167	black
1	39657168	39660410	3243	39660410	black
1	39659948	39660743	796	39660743	black
1	39660304	39660371	68	39660371	black
1	39660372	39660531	160	39660531	black
1	39660405	39661306	902	39661306	black
1	39660532	39660762	231	39660762	black
1	39661296	39661498	203	39661498	black
1	39661499	39662486	988	39662486	black
1	39662484	39662875	392	39662875	black
1	39662879	39663641	763	39663641	black
1	39663644	39664678	1035	39664678	black
1	39664022	39664853	832	39664853	black
1	39664854	39665104	251	39665104	black
1	39665092	39665307	216	39665307	black
1	39665308	39666325	1018	39666325	black
1	39666326	39666341	16	39666341	black
1	39666364	39668510	2147	39668510	black
1	39668420	39669405	986	39669405	black
1	39668511	39668851	341	39668851	black
1	39668852	39669186	335	39669186	black
1	39669178	39669264	87	39669264	black
1	39669265	39669785	521	39669785	black
1	39669790	39669871	82	39669871	black
1	39669872	39670200	329	39670200	black
1	39670182	39670702	521	39670702	black
1	39670201	39670430	230	39670430	black
1	39670285	39671134	850	39671134	black
1	39670594	39671305	712	39671305	black
1	39671671	39671772	102	39671772	black
1	39671743	39672897	1155	39672897	black
1	39672381	39674482	2102	39674482	black
1	39673109	39674842	1734	39674842	black
1	39674843	39675227	385	39675227	black
1	39675293	39675327	35	39675327	black
1	39675376	39675437	62	39675437	black
1	39675543	39675600	58	39675600	black
1	39675612	39677195	1584	39677195	black
1	39677198	39677887	690	39677887	black
1	39677872	39679799	1928	39679799	black
1	39679318	39680732	1415	39680732	black
1	39679798	39680335	538	39680335	black
1	39680336	39682460	2125	39682460	black
1	39681381	39681590	210	39681590	black
1	39681591	39683065	1475	39683065	black
1	39683066	39683078	13	39683078	black
1	39683079	39683503	425	39683503	black
1	39683504	39683568	65	39683568	black
1	39683561	39683813	253	39683813	black
1	39683889	39684055	167	39684055	black
1	39684062	39684265	204	39684265	black
1	39684249	39684271	23	39684271	black
1	39684272	39685261	990	39685261	black
1	39685259	39685648	390	39685648	black
1	39685649	39686410	762	39686410	black
1	39686398	39687513	1116	39687513	black
1	39687514	39690734	3221	39690734	black
1	39690724	39690848	125	39690848	black
1	39690843	39690991	149	39690991	black
1	39690975	39690997	23	39690997	black
1	39690998	39691986	989	39691986	black
1	39691985	39692374	390	39692374	black
1	39692375	39693138	764	39693138	black
1	39693139	39693732	594	39693732	black
1	39693739	39694430	692	39694430	black
1	39694056	39695822	1767	39695822	black
1	39694431	39694721	291	39694721	black
1	39694977	39695822	846	39695822	black
1	39695596	39695822	227	39695822	black
1	39695822	39696429	607	39696428	red
1	39695822	39696656	834	39696655	red
1	39695822	39696995	1173	39696994	red
1	42115951	42117317	1367	42117317	black
1	42117317	42117788	471	42117787	red
1	42117778	42117788	11	42117788	black
1	42117790	42118023	234	42118023	black
1	42117930	42120731	2802	42120731	black
1	42120723	42120838	116	42120838	black
1	42120839	42121607	769	42121607	black
1	42121585	42121605	21	42121605	black
1	42121616	42122655	1040	42122655	black
1	42122655	42123450	795	42123449	red
1	42272858	42272883	26	42272883	black
1	42272883	42275378	2495	42275377	red
1	42275367	42275424	58	42275424	black
1	42275420	42275895	476	42275895	black
1	42275889	42275955	67	42275955	black
1	42275979	42276345	367	42276345	black
1	42276365	42276669	305	42276669	black
1	42276629	42276680	52	42276680	black
1	42276662	42276757	96	42276757	black
1	42276752	42276849	98	42276849	black
1	42276797	42277025	229	42277025	black
1	42276955	42277436	482	42277436	black
1	42277437	42278249	813	42278249	black
1	42278266	42278469	204	42278469	black
1	42278470	42278663	194	42278663	black
1	42278677	42278857	181	42278857	black
1	42278845	42278926	82	42278926	black
1	42278927	42279092	166	42279092	black
1	42278937	42279121	185	42279121	black
1	42279122	42279190	69	42279190	black
1	42279240	42279325	86	42279325	black
1	42279331	42279471	141	42279471	black
1	42279472	42279550	79	42279550	black
1	42279550	42279623	73	42279622	red
1	42339018	42339493	476	42339493	black
